Produkt;Faropiktogram2;B;C;D;E;Faropiktogram;Lagring
Dako Pen;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";
Dako Pen;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Fridge Atlas
Denhardt’s Solution 50× Concentrate;;;;;;;Freezer B
Dextran sulfate sodium salt, from Leuconostoc spp.;;;;;;;Freezer B
Dextran sulfate sodium salt, from Leuconostoc spp.;;;;;;;Fridge near Bond
1,4-Diazabicyklo[2,2,2]oktan;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Flammmable cabinet
Dietylpyrokarbonat (volym);"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Fridge near Bond
Dijodmetan (massa);"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32"">";Cupboard Csaba
N,N-Dimetylakrylamid (contains 500 ppm monomethyl ether hydroquinone as inhibitor) (volym);"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Cupboard Csaba
Direct-zol RNA MiniPrep (kit);"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Flammmable cabinet
DMP;;;;;;;Freezer A
dNTP Set 100mM;;;;;;;Freezer B
Dodecyl sodium sulfate;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";
Dodecyl sodium sulfate;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Flammmable cabinet
DTT;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Fridge near Bond
E. coli RNase H;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Freezer B
EcoMount;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Flammmable cabinet
ELISA Buffer Concentrate (10x);;;;;;;Lab space
ELISA Starter Accessory Kit;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Fridge Atlas
ELISA Wash Buffer (30X);;;;;;;Fridge near Bond
Entellan snabb monteringsmedium för mikroskopi;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Flammmable cabinet
Etanolamin;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Cupboard Csaba
Ethanol 99%;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Flammmable cabinet
FSC 22 Frozen Section Media;;;;;;;Lab space
GelRed nucleic acid stain 3x in water;;;;;;;Lab space
High Sensitivity D1000 Reagents (kit);;;;;;;Fridge near Bond
High Sensitivity D1000 Screen Tape;;;;;;;Fridge near Bond
Hoechst 33342, trihydrochloride, trihydrate (10 mg/mL solution in water);;;;;;;Fridge near Bond
Imidazole-3M;;;;;;;Cupboard Csaba
INT/BCIP stock solution;;;;;;;Fridge near Bond
iQ SYBR Green Supermix (volym) (gammal);"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Freezer B
Järndiklorid;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Cupboard Csaba
Kaliumpermanganat krist.;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/GHS-pictogram-rondflam.svg/512px-GHS-pictogram-rondflam.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/GHS-pictogram-pollu.svg/512px-GHS-pictogram-pollu.svg.png"" height=""32"">";;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/GHS-pictogram-rondflam.svg/512px-GHS-pictogram-rondflam.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/GHS-pictogram-pollu.svg/512px-GHS-pictogram-pollu.svg.png"" height=""32"">";Flammmable cabinet
Krom(III)kaliumsulfat dodekahydrat;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Cupboard Csaba
Lithium chloride anhydrous;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Cupboard Csaba
Metanol;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";Flammmable cabinet
MGIEasy Circulization Module Kit;;;;;;;New Freezer
MGIEasy DNA Clean Beads (Kit);;;;;;;New fridge
MGIEasy RNA Library Prep Set Kit;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";New Freezer
MGIEasy rRNA Depletion kit;;;;;;;New Freezer
Mounting medium (Sigma-Aldrich);;;;;;;Fridge Atlas
m-Xylen;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Flammmable cabinet
Myelin Removal Beads II human, mouse, rat;;;;;;;Fridge Atlas
Myrsyra (volym);"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Flammmable cabinet
N,N-Dimetylformamid;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Flammmable cabinet
NATIVEPAGE 20X RUNNING BUFFER;;;;;;;Lab space
NativePAGE Sample Prep Kit;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Fridge Atlas
NativePAGE Sample Prep Kit;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Fridge near Bond
Natriumazid;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/GHS-pictogram-pollu.svg/512px-GHS-pictogram-pollu.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/GHS-pictogram-pollu.svg/512px-GHS-pictogram-pollu.svg.png"" height=""32"">";Cupboard Csaba
Natriumborhydrid;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Flammmable cabinet
Natriumditionit;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";Fridge near Bond
Natriumhydroxid <0,5% (0,13M);;;;;;;Fridge near Bond
Natriumkloridlösning, 5M;;;;;;;Lab space
NE-PER Nuclear and Cytoplasmic Extraction Reagents (volym);"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Fridge near Bond
N-Ethylmaleimide;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Fridge near Bond
Nonidet P40 Substitute;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/GHS-pictogram-pollu.svg/512px-GHS-pictogram-pollu.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/GHS-pictogram-pollu.svg/512px-GHS-pictogram-pollu.svg.png"" height=""32"">";Cupboard Csaba
